City,Country,Gases Included,Emissions Column Number,Emissions Column Name,Emissions Row Number,Emissions Row Name,Emissions Response Answer,Emissions Description,Emissions Data Reported,Inventory Year,Population in inventory year,City_Location,Last update,Organization Name
Santa Monica,United States of America,CH4; CO2; HFCs; N2O; PFCs,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",9,Transportation > Rail^,0,0903 Transportation > Rail^ - Indirect,1,2020,91105,POINT (-118.481 34.0219),04/02/2023 4:08:42 AM,"City of Santa Monica, CA"
Philadelphia,United States of America,CH4; CO2; HFCs; N2O; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,28,Generation of grid-supplied energy > Heat/cold generation^,0,2801 Generation of grid-supplied energy > Heat/cold generation^ - Direct,1,2019,1584064,POINT (-75.1638 39.9523),04/02/2023 4:08:42 AM,"City of Philadelphia, PA"
Louisville,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,57310,2501 Total AFOLU - Direct,1,2016,765352,POINT (-85.6784 38.196),04/02/2023 4:08:42 AM,"City of Louisville, KY"
"Washington, DC",United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",11,Transportation > Aviation^,0,1103 Transportation > Aviation^ - Indirect,1,2020,690093,POINT (-77.0369 38.9072),04/02/2023 4:08:42 AM,"District of Columbia, DC"
Atlanta,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",11,Transportation > Aviation^,218347.89,1103 Transportation > Aviation^ - Indirect,1,2019,488800,POINT (-84.388 33.749),04/02/2023 4:08:42 AM,"City of Atlanta, GA"
Park City,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),17,Waste > Wastewater^,152,1705 Waste > Wastewater^ - Outside Boundary,1,2016,8299,POINT (-111.498 40.6461),04/02/2023 4:08:42 AM,"City of Park City, UT"
Bloomington,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2018,85000,POINT (-86.5264 39.1653),04/02/2023 4:08:42 AM,"City of Bloomington, IN"
Roanoke,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),15,Waste > Biological treatment^,0,1505 Waste > Biological treatment^ - Outside Boundary,0,2019,99229,POINT (-79.9414 37.271),04/02/2023 4:08:42 AM,"City of Roanoke, VA"
Des Moines,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,14,Waste > Solid waste disposal^,0,1401 Waste > Solid waste disposal^ - Direct,1,2019,215932,,04/02/2023 4:08:42 AM,"City of Des Moines, IA"
Roanoke,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),28,Generation of grid-supplied energy > Heat/cold generation^,0,2805 Generation of grid-supplied energy > Heat/cold generation^ - Outside Boundary,0,2019,99229,POINT (-79.9414 37.271),04/02/2023 4:08:42 AM,"City of Roanoke, VA"
,United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),6,Stationary energy > Fugitive emissions^,0,0605 Stationary energy > Fugitive emissions^ - Outside Boundary,0,2015,2137829,,04/02/2023 4:08:42 AM,Mid-America Regional Council
Cincinnati,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),15,Waste > Biological treatment^,0,1505 Waste > Biological treatment^ - Outside Boundary,1,2019,300357,POINT (-84.512 39.1031),04/02/2023 4:08:42 AM,"City of Cincinnati, OH"
Charlotte,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,24,AFOLU > Other AFOLU,0,2401 AFOLU > Other AFOLU - Direct,0,2019,868000,POINT (-80.8431 35.2271),04/02/2023 4:08:42 AM,"City of Charlotte, NC"
Milwaukee,United States of America,CO2,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2018,592025,POINT (-87.9065 43.0389),04/02/2023 4:08:42 AM,"City of Milwaukee, WI"
Bellingham,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,0,2020,90821,POINT (-122.479 48.7519),04/02/2023 4:08:42 AM,"City of Bellingham, WA"
Evanston,United States of America,,1,Direct emissions (metric tonnes CO2e)^,26,Generation of grid-supplied energy > Electricity-only generation^,0,2601 Generation of grid-supplied energy > Electricity-only generation^ - Direct,0,,0,POINT (-87.6898 42.0669),04/02/2023 4:08:42 AM,"City of Evanston, IL"
"San José, CA",United States of America,CH4; CO2; HFCs; N2O; NF3; PFCs; SF6,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2019,1047871,POINT (-121.886 37.3382),04/02/2023 4:08:42 AM,"City of San José, CA"
Spokane,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",12,Transportation > Off-road^,0,1203 Transportation > Off-road^ - Indirect,0,2016,215144,,04/02/2023 4:08:42 AM,"City of Spokane, WA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),1,Stationary energy > Residential buildings^,0,0105 Stationary energy > Residential buildings^ - Outside Boundary,0,2018,23203,,04/02/2023 4:08:42 AM,"City of Greenbelt, MD"
Lansing,United States of America,,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),31,Total Emissions (excluding generation of grid-supplied energy),0,3105 Total Emissions (excluding generation of grid-supplied energy) - Outside Boundary,0,,0,POINT (-84.5555 42.7325),04/02/2023 4:08:42 AM,"City of Lansing, MI"
Minneapolis,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,24,AFOLU > Other AFOLU,0,2401 AFOLU > Other AFOLU - Direct,1,2020,436000,POINT (-93.2667 44.9833),04/02/2023 4:08:42 AM,"City of Minneapolis, MN"
Saint Paul,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",31,Total Emissions (excluding generation of grid-supplied energy),678136.05,3103 Total Emissions (excluding generation of grid-supplied energy) - Indirect,1,2020,305887,POINT (-93.09 44.9537),04/02/2023 4:08:42 AM,"City of Saint Paul, MN"
"Santa Cruz, CA",United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),25,Total AFOLU,0,2505 Total AFOLU - Outside Boundary,1,2019,65041,POINT (-122.031 36.9741),04/02/2023 4:08:42 AM,"City of Santa Cruz, CA"
Boynton Beach,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,10,Transportation > Waterborne navigation^,0,1001 Transportation > Waterborne navigation^ - Direct,1,2017,0,POINT (-80.216 26.4986),04/02/2023 4:08:42 AM,"City of Boynton Beach, FL"
,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),4,Total Scope 3 emissions,447060,0401 Total Scope 3 emissions,1,2016/2017,531296,,04/02/2023 4:08:42 AM,"Dane County, WI"
,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,29,Generation of grid-supplied energy > Local renewable generation,0,2901 Generation of grid-supplied energy > Local renewable generation - Direct,1,2019,13290,,04/02/2023 4:08:42 AM,"Town of York, ME"
Chicago,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,16,Waste > Incineration and open burning^,0,1601 Waste > Incineration and open burning^ - Direct,1,2019,2746388,POINT (-87.6298 41.8781),04/02/2023 4:08:42 AM,"City of Chicago, IL"
Aspen,United States of America,,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,0,2501 Total AFOLU - Direct,1,2020,7004,POINT (-106.837 39.195),04/02/2023 4:08:42 AM,"City of Aspen, CO"
New Orleans,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,31,Total Emissions (excluding generation of grid-supplied energy),2099632,3101 Total Emissions (excluding generation of grid-supplied energy) - Direct,1,2017,391493,POINT (-90.0715 29.9511),04/02/2023 4:08:42 AM,"City of New Orleans, LA"
,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),22,AFOLU > Livestock,0,2205 AFOLU > Livestock - Outside Boundary,0,2019,7500,,04/02/2023 4:08:42 AM,"Village of Hastings-on-Hudson, NY"
Emeryville,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,11,Transportation > Aviation^,0,1101 Transportation > Aviation^ - Direct,1,2020,12298,POINT (-122.285 37.8313),04/02/2023 4:08:42 AM,"City of Emeryville, CA"
Orlando,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,25,Total AFOLU,0,2501 Total AFOLU - Direct,0,2018,280258,POINT (-81.3792 28.5383),04/02/2023 4:08:42 AM,"City of Orlando, FL"
Indianapolis,United States of America,CH4; CO2; N2O,3,"Indirect emissions from the use of grid-supplied electricity, heat, steam and/or cooling (metric tonnes CO2e)^",13,Total Transport,1044.65,1303 Total Transport - Indirect,1,2019,883570,POINT (-86.1785 39.7676),04/02/2023 4:08:42 AM,"City of Indianapolis, IN"
Phoenix,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),29,Generation of grid-supplied energy > Local renewable generation,0,2905 Generation of grid-supplied energy > Local renewable generation - Outside Boundary,1,2020,1654675,POINT (-112.074 33.4484),04/02/2023 4:08:42 AM,"City of Phoenix, AZ"
Winston-Salem,United States of America,CH4; CO2; N2O,1,Emissions (metric tonnes CO2e),4,Total Scope 3 emissions,0,0401 Total Scope 3 emissions,0,2019,247951,POINT (-80.2442 36.0999),04/02/2023 4:08:42 AM,"City of Winston-Salem, NC"
Chicago,United States of America,CH4; CO2; N2O,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),2,Stationary energy > Commercial buildings & facilities^,0,0205 Stationary energy > Commercial buildings & facilities^ - Outside Boundary,1,2019,2746388,POINT (-87.6298 41.8781),04/02/2023 4:08:42 AM,"City of Chicago, IL"
Albany,United States of America,CO2,5,Emissions occurring outside the jurisdiction boundary as a result of in-jurisdiction activities (metric tonnes CO2e),30,Total generation of grid-supplied energy,0,3005 Total generation of grid-supplied energy - Outside Boundary,0,2019,99224,POINT (-73.7562 42.6526),04/02/2023 4:08:42 AM,"City of Albany, NY"
Cincinnati,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,7,Total Stationary Energy,1935006,0701 Total Stationary Energy - Direct,1,2019,300357,POINT (-84.512 39.1031),04/02/2023 4:08:42 AM,"City of Cincinnati, OH"
Alameda,United States of America,CH4; CO2; N2O,1,Direct emissions (metric tonnes CO2e)^,12,Transportation > Off-road^,34565,1201 Transportation > Off-road^ - Direct,1,2015,76733,POINT (122.163 37.4522),04/02/2023 4:08:42 AM,"City of Alameda, CA"
