Year,Temperature in Celsius
1961,0.003
1962,-0.021
1963,0.419
1964,-0.283
1965,-0.357
1966,-0.213
1967,0.076
1968,-0.075
1969,-0.264
1970,-0.029
1971,-0.415
1972,-0.251
1973,-0.015
1974,0.079
1975,-0.393
1976,-0.13
1977,0.394
1978,0.039
1979,-0.298
1980,0.413
1981,0.871
1982,-0.34
1983,0.533
1984,-0.229
1985,-0.027
1986,0.578
1987,0.904
1988,0.463
1989,0.319
1990,0.665
1991,0.52
1992,0.387
1993,0.002
1994,0.461
1995,0.626
1996,-0.011
1997,0.39
1998,1.264
1999,0.749
2000,0.992
2001,0.78
2002,0.946
2003,0.987
2004,0.86
2005,1.149
2006,1.023
2007,1.141
2008,0.21
2009,0.396
2010,0.69
2011,0.534
2012,1.445
2013,0.613
2014,0.5
2015,1.525
2016,2.219
2017,1.43
2018,1.273
2019,1.032
2020,1.325
2021,1.166
